Gene	Name	Chr	Strand	Start	End	HNT_8A8G_Rep1	HNT_8A8G_Rep2	HBG1_8A8G_Rep1	HBG1_8A8G_Rep2	HBG1_WT
ARHGAP28	ARHGAP28	18	+	6729716	6915713	0.562579	0.000000	0.213089	0.485534	0.417522
LINC02006	LINC02006	3	-	153383550	153762526	0.0	0.0	0.000000	0.000000	0.0
GAGE12F	GAGE12F	X	+	49341114	49529985	0.000000	0	0	0	0
LINC01656	LINC01656	22	+	44443327	44444788	0.0	0.0	0.0	0.0	0.0
PLCE1	PLCE1	10	+	93993989	94328391	5.428288	5.504226	4.694636	7.198913	5.676602
SHD	SHD	19	+	4278601	4290723	1.549116	0.0	0.901944	1.854589	0.771641
SCD	SCD	10	+	100347015	100364831	76.616936	56.401905	82.542068	101.783195	61.457993
MLIP	MLIP	6	+	54018916	54266280	0.0	0.0	0.000000	0.000000	0.0
GSG1L2	GSG1L2	17	-	9802386	9822071	0.0	0.0	0.0	0.0	0.0
LCE2C	LCE2C	1	+	152675315	152676573	0.0	0.0	0.0	0.0	0.0
ANKRD20A19P	ANKRD20A19P	13	-	23907284	23949315	0.0	0.0	0.0	0.0	0.0
MIR4650-2	MIR4650-2	7	+	72697903	72697978	2.885615	0.000000	0.000000	0.000000	0.000000
MIR8077	MIR8077	19	+	42351131	42351205	1.333041	0.000000	0.000000	0.000000	0.000000
CMTM1	CMTM1	16	+	66566391	66579135	7.599036	11.935322	8.756918	9.518515	9.707888
MIR3660	MIR3660	5	-	90016621	90016720	0.0	0.0	1.547249	0.0	0.0
REEP3	REEP3	10	+	63521363	63625123	21.103590	20.947945	27.030615	27.983240	23.381329
JSRP1	JSRP1	19	-	2252251	2256423	7.230777	5.537088	4.061212	4.780825	11.965720
UBN1	UBN1	16	+	4847631	4882401	60.495529	58.419044	56.826492	69.101074	70.135139
ZC3H11B	ZC3H11B	1	-	219609645	219613145	7.322846	9.263860	8.827582	9.118895	7.004503
SPATA31A3	SPATA31A3	9	-	66986304	66992550	0.000000	0.000000	0.0	0.0	0.0
LOC101928020	LOC101928020	2	+	210029922	210064356	7.441267	11.474766	8.758646	15.553377	13.369004
MTDH	MTDH	8	+	97644184	97730260	166.144165	234.441345	164.357330	191.931488	176.958527
LSG1	LSG1	3	-	194640788	194672477	31.880505	43.123535	36.860523	45.203281	35.525131
C18orf65	C18orf65	18	+	76495521	76498088	1.413700	0.000000	2.709969	2.314698	2.183030
AGAP7P	AGAP7P	10	+	46109495	46131678	34.490162	28.460768	24.378386	22.736471	30.165154
TEC	TEC	4	-	48135783	48269797	0.407443	1.736442	0.776198	0.912900	0.906219
SCPEP1	SCPEP1	17	+	56978107	57006768	6.677365	3.686112	6.576246	10.127044	9.609476
SNORD15A	SNORD15A	11	+	75400391	75400538	0.000000	0.000000	0.908331	2.412321	0.000000
MIR518D	MIR518D	19	+	53734877	53734963	0.0	0.0	0.0	0.0	0.0
LINC02299	LINC02299	14	+	96741191	96790613	0.0	0.0	0.000000	0.0	0.0
ENTPD6	ENTPD6	20	+	25195670	25228075	26.209751	13.803161	26.188282	23.693270	32.745293
LINC02257	LINC02257	1	-	221913645	221978520	0.0	0.0	0.0	0.0	0.0
RASSF7	RASSF7	11	+	560971	564025	19.418367	13.668241	12.896086	18.837816	9.924195
C4orf17	C4orf17	4	+	99511004	99542303	0.0	0.0	0.000000	0.0	1.078769
SCFD2	SCFD2	4	-	52872984	53366075	24.380793	21.669453	21.825336	29.302551	23.002230
RPL13AP3	RPL13AP3	14	+	55766245	55767717	1.197644	0.636333	0.377974	0.434767	0.403353
PRPF4	PRPF4	9	+	113275634	113292905	38.257740	2.963936	36.814957	53.343571	51.327129
KCNS1	KCNS1	20	-	45091216	45101112	1.414037	0.0	1.080825	0.881620	1.710462
GBP3	GBP3	1	-	89006677	89022866	0.183908	0.0	0.671981	0.475853	0.000000
DUX4	DUX4	4	+	190173774	190185911	0.0	0.0	0.0	0.0	0.0
ADGRE1	ADGRE1	19	+	6887549	6940453	0.000000	0.0	0.000000	0.0	0.0
KRTAP10-5	KRTAP10-5	21	-	44579455	44580604	0.000000	0.000000	0.000000	0.000000	0.000000
RPL7L1	RPL7L1	6	+	42879616	42889896	233.153137	196.590012	274.996582	313.397919	265.338806
LOC100652758	LOC100652758	5	-	151769793	151772176	0.473192	0.847643	1.736629	0.529458	1.441903
KLK13	KLK13	19	-	51055626	51065110	0.000000	0.000000	0.0	0.0	0.0
ZFYVE21	ZFYVE21	14	+	103715744	103733668	7.648954	9.772454	5.996454	9.029846	7.706518
SNORD3F	SNORD3F	8	-	20614829	20614926	0.0	0.0	0.0	0.0	0.0
PRH2	PRH2	12	+	10929236	10934845	0.657628	0.045398	1.203053	1.925040	2.761202
SP7	SP7	12	-	53326576	53344793	0.000000	0.837990	0.000000	0.000000	0.202691
MTFR2	MTFR2	6	-	136231030	136250335	20.781902	7.747799	23.517061	17.899075	16.336676
AHSP	AHSP	16	+	31527852	31528804	0.000000	0.0	0.0	0.0	0.0
LINC01875	LINC01875	2	+	545805	546667	0.0	0.0	0.0	0.0	0.0
TRHR	TRHR	8	+	109087424	109119583	1.796607	4.849435	2.603961	3.331776	4.752187
SYNE4	SYNE4	19	-	36003299	36008793	4.577430	1.064993	1.866747	3.028558	6.424739
ZNF662	ZNF662	3	+	42905910	42919333	0.000000	0.0	0.222823	0.0	0.0
GLIS2	GLIS2	16	+	4314761	4339597	15.624827	23.001606	17.078615	12.855375	23.190992
SLX1A-SULT1A3	SLX1A-SULT1A3	16	+	30194433	30204329	3.582260	7.030746	7.774802	6.262525	12.225252
ZNF516	ZNF516	18	-	76357682	76495190	7.831689	7.800889	8.727984	10.292468	9.063102
PSMA2	PSMA2	7	-	42916861	42932206	91.508698	66.645607	104.007523	84.407616	85.449036
GPR135	GPR135	14	-	59463522	59465341	7.400598	13.807747	10.065059	7.036256	11.381663
LINC01785	LINC01785	19	-	22615557	22623971	0.0	0.0	0.0	0.0	0.0
RER1	RER1	1	+	2391841	2405436	104.762840	51.212734	102.571381	82.365173	90.604164
ADGB	ADGB	6	+	146599000	146815461	0.000000	0.000000	0.000000	0.000000	0.000000
IL13RA1	IL13RA1	X	+	118727596	118794533	20.204767	26.176479	28.584709	29.494989	25.604891
FYB2	FYB2	1	-	56718804	56819696	0.066076	0.000000	0.515514	0.104434	0.198655
TNNC2	TNNC2	20	-	45823216	45827314	9.651617	2.287142	3.462044	2.307704	4.587048
CBX3P2	CBX3P2	18	-	2652170	2655395	0.000000	0.0	0.000000	0.000000	0.000000
MIR4256	MIR4256	1	-	112461770	112461833	8.785035	0.0	10.423319	13.092025	3.474156
CT45A9	CT45A9	X	-	135846139	135871812	0	0	0.0	0	0
OR1L3	OR1L3	9	+	122675130	122676104	0.0	0.0	0.0	0.0	0.000000
OR2A25	OR2A25	7	+	144074220	144075152	0.0	0.0	0.0	0.0	0.0
ACO1	ACO1	9	+	32384603	32450834	24.717047	7.287438	26.819901	25.341887	27.947519
PPP1R3F	PPP1R3F	X	+	49269843	49288093	4.249527	3.999926	4.793264	2.906845	1.163211
GPR157	GPR157	1	-	9104417	9129170	3.390463	4.327600	2.826859	1.379867	3.454283
MIGA1	MIGA1	1	+	77779624	77879540	13.704048	10.505535	13.384878	15.861508	15.413830
PHLDA3	PHLDA3	1	-	201464284	201469171	77.899986	58.298359	72.287964	59.523285	80.579582
TTLL4	TTLL4	2	+	218710845	218755415	74.106377	70.376007	93.388130	107.146111	93.602257
HMGCR	HMGCR	5	+	75337168	75362116	6.997880	5.291995	6.129581	7.945496	5.399432
LOC100128770	LOC100128770	16	+	3032481	3039132	1.700522	0.280244	1.896743	1.161897	1.947949
NDP	NDP	X	-	43948776	43973675	0.0	0.0	0.0	0.0	0.0
EMX2OS	EMX2OS	10	-	117484293	117545068	3.967813	4.382131	5.178911	4.834952	2.514544
GABRB3	GABRB3	15	-	26543546	26773788	7.603181	7.775167	6.739399	9.125249	8.078144
U2AF1L4	U2AF1L4	19	-	35742527	35745442	11.007393	8.056223	21.618486	18.098940	12.137463
AVEN	AVEN	15	-	33866227	34039102	25.182175	18.835724	13.543872	18.700886	25.523848
DAP	DAP	5	-	10679230	10761275	113.308083	126.813118	113.852669	128.723663	129.979660
SLPI	SLPI	20	-	45252239	45254564	0.0	0.0	0.0	0.0	0.000000
PSMG2	PSMG2	18	+	12658739	12725741	43.176373	28.514687	56.689713	54.049999	43.108067
EFCAB6-AS1	EFCAB6-AS1	22	+	43516254	43536605	0.000000	0.315669	0.000000	0.000000	0.502840
MIR6128	MIR6128	11	+	56743873	56743981	0.0	0.0	0.0	0.0	0.0
LINC01736	LINC01736	1	+	230002717	230007162	0.0	0.0	0.0	0.0	0.0
ZFYVE9	ZFYVE9	1	+	52142094	52346686	12.001202	6.251604	11.310288	15.349070	12.418803
SNORD31B	SNORD31B	13	-	107320895	107320963	0.000000	0.000000	0.0	0.000000	0.000000
P2RX2	P2RX2	12	+	132618780	132622386	0.169903	1.349184	3.958566	1.339664	1.381507
CYP4F2	CYP4F2	19	-	15878024	15898120	5.684360	2.009900	3.480534	1.560114	5.313975
FBXO30	FBXO30	6	-	145793502	145814795	2.671993	2.041888	2.988364	4.294533	2.318323
KCNK17	KCNK17	6	-	39299001	39314461	0.0	0.0	0.0	0.0	0.0
MTHFD1	MTHFD1	14	+	64388353	64460025	144.030762	151.796082	151.177933	150.728546	192.347031
RIMS1	RIMS1	6	+	71886703	72403143	0.528797	0.890542	0.947654	1.279335	1.829198
VTRNA1-1	VTRNA1-1	5	+	140711276	140711373	0.0	0.0	0.0	0.0	0.0
MMADHC	MMADHC	2	-	149569633	149587816	86.417831	53.297066	111.588051	102.562752	81.668327
CLCN1	CLCN1	7	+	143316126	143352004	0.000000	0.0	0.368604	0.324646	0.646790
ASCC1	ASCC1	10	-	72096032	72217134	5.204792	5.743216	5.573863	7.337302	5.593002
INHBB	INHBB	2	+	120346142	120351808	4.485968	2.227637	5.392281	6.416049	5.492356
PDF	PDF	16	-	69326913	69330588	27.434929	22.077723	15.010571	23.380392	18.870138
TSPAN9	TSPAN9	12	+	3077355	3286564	6.139123	3.315365	4.367530	3.073300	4.362344
AKAP3	AKAP3	12	-	4615508	4649051	5.505149	3.158679	4.145646	3.708283	5.063252
AURKC	AURKC	19	+	57231009	57235548	0.500535	0.000000	2.407620	0.673725	3.634384
INO80B	INO80B	2	+	74455023	74457960	9.099843	0.000000	6.732416	12.109001	10.954782
LOC101928168	LOC101928168	7	+	29125033	29128172	0.000000	0.000000	0.000000	0.000000	0.000000
USP17L12	USP17L12	4	+	9262872	9264464	0	0	0.000000	0.0	0
NCOA2	NCOA2	8	-	70109762	70404238	22.391596	16.112597	24.355915	23.039288	20.488907
FPR2	FPR2	19	+	51761180	51770531	0.0	0.0	0.0	0.0	0.0
LINC00482	LINC00482	17	-	81302824	81309248	0.0	0.0	0.0	0.084066	0.171183
RSPH4A	RSPH4A	6	+	116616479	116632985	4.960276	5.827056	6.488811	5.246398	4.829295
MAP3K12	MAP3K12	12	-	53480492	53499660	11.502561	10.203258	15.096735	10.913067	12.791713
PDCD2	PDCD2	6	-	170575572	170584692	265.486328	378.981842	296.636383	303.990753	328.289795
UGT2B10	UGT2B10	4	+	68815993	69020397	0.0	0.0	0.0	0.0	0.0
LOC101927884	LOC101927884	2	+	75524068	75542706	0.000000	0.000000	0.731203	0.000000	0.000000
CPE	CPE	4	+	165378942	165498547	18.275967	14.330604	24.515089	18.298212	20.262785
ADAMTSL2	ADAMTSL2	9	+	133532164	133575519	0.0	0.294144	0.0	0.0	0.0
LZTFL1	LZTFL1	3	-	45823318	45915724	10.418727	10.675611	10.345850	13.914346	11.797981
METTL21A	METTL21A	2	-	207580631	207626053	17.815510	9.029215	27.679237	20.257645	9.449336
FBLN2	FBLN2	3	+	13549125	13638422	0.0	0.140634	0.384541	0.144425	0.0
LOC102724238	LOC102724238	9	-	62374481	62376870	0.840889	0.122420	0.940127	2.225537	0.492925
SPTBN5	SPTBN5	15	-	41848146	41894077	0.228632	0.151066	0.121748	0.206077	0.322043
OR52H1	OR52H1	11	-	5544561	5545523	0.0	0.0	0.379285	0.0	0.0
BGLAP	BGLAP	1	+	156241962	156243332	0.729228	3.680919	2.071635	7.254947	0.000000
LINC01886	LINC01886	2	+	107529419	107556496	0.0	0.0	0.0	0.0	0.0
BLK	BLK	8	+	11493992	11564604	0.0	0.000000	0.000000	0.000000	0.0
YTHDF1	YTHDF1	20	-	63195430	63216186	105.755211	69.835861	117.828217	122.845200	105.439842
MIR6803	MIR6803	19	-	55245186	55245250	8.798731	0.000000	0.000000	4.102337	0.000000
USP25	USP25	21	+	15729934	15880071	22.905500	15.072392	21.927496	23.122950	23.788080
WASF2	WASF2	1	-	27404226	27490187	140.360733	199.257584	164.065262	182.011871	184.061401
GAS5-AS1	GAS5-AS1	1	+	173863248	173863941	1.347664	0.000000	6.333872	3.298970	5.623340
BMS1P21	BMS1P21	10	+	79904898	79931801	5.272000	9.290948	4.060839	9.354778	5.662764
CEP250	CEP250	20	+	35455402	35511975	9.474776	11.796988	12.538701	13.455721	13.468239
SERPINB11	SERPINB11	18	+	63702304	63723893	0.0	0.0	0.0	0.0	0.0
LOC102724814	LOC102724814	14	+	23561097	23568075	20.971786	13.698244	14.901771	18.729891	23.879045
OTOF	OTOF	2	-	26457203	26558698	0.000000	0.000000	0.160980	0.000000	0.000000
RNU5D-1	RNU5D-1	1	-	44731069	44731168	0.0	0.0	0.0	0.000000	0.000000
RNU6-9	RNU6-9	19	+	893484	1021628	0	0.0	0.0	0	0
