Gene	Name	Chr	Strand	Start	End	CRISPRa_C1_Rep1	CRISPRa_C1_Rep2
CLDN10-AS1	CLDN10-AS1	13	-	95479444	95533910	0.000000	0.0
OVCA2	OVCA2	17	+	2041983	2043431	121.616982	131.573441
TM2D3	TM2D3	15	-	101632977	101652391	260.917755	77.438766
FMN2	FMN2	1	+	240091885	240475189	0.197914	0.0
CEP128	CEP128	14	-	80496478	80941738	0.0	0.0
MIR509-3	MIR509-3	X	-	147258765	147260615	0.0	0.0
NKX2-4	NKX2-4	20	-	21395367	21397526	13.909264	0.0
LOC101927709	LOC101927709	2	-	118599783	118602966	0.0	0.0
ZNF789	ZNF789	7	+	99472892	99487594	113.676506	100.390190
MIR3179-3	MIR3179-3	16	+	14901508	18494576	0.0	0
ELSPBP1	ELSPBP1	19	+	47994651	48025153	0.0	0.0
F10-AS1	F10-AS1	13	-	113128155	113130046	0.0	0.000000
PLA1A	PLA1A	3	+	119597848	119629811	0.0	0.000000
DCP1A	DCP1A	3	-	53283425	53347627	74.610001	170.710815
PARD3-AS1	PARD3-AS1	10	+	34815768	34816422	0.0	0.0
NUPL2	NUPL2	7	+	23182048	23201006	128.574066	274.637054
PNPLA3	PNPLA3	22	+	43923739	43947568	8.013970	0.0
CCDC69	CCDC69	5	-	151181052	151224092	0.000000	0.0
OGA	OGA	10	-	101784443	101818465	24.437572	100.134560
CCDC32	CCDC32	15	-	40531341	40565057	63.417362	0.000000
SCARNA28	SCARNA28	7	+	98881697	98881890	0.000000	0.000000
NFKBIB	NFKBIB	19	+	38899700	38908894	70.700508	16.722675
PTGER4	PTGER4	5	+	40679930	40693736	0.0	0.0
RAB39A	RAB39A	11	+	107928475	107963482	0.0	2.481558
NUMA1	NUMA1	11	-	72002864	72080693	3.569008	1.449131
EHD2	EHD2	19	+	47713344	47743134	4.702507	0.0
LINC01914	LINC01914	2	-	41931599	41933723	0.0	0.0
CCNG1	CCNG1	5	+	163437571	163448199	31.489361	0.000000
ACTL10	ACTL10	20	+	33666498	33668525	0.0	0.000000
SNORA21	SNORA21	17	-	38852863	38852995	0.000000	0.000000
ABCC3	ABCC3	17	+	50634857	50691702	0.0	0.000000
ZNF331	ZNF331	19	+	53520923	53580269	0.0	0.0
LOC105372441	LOC105372441	19	+	50830530	50851143	0.000000	0.0
SPIB	SPIB	19	+	50418938	50431052	0.0	0.0
LMO7	LMO7	13	+	75620434	75859871	26.137745	6.535567
FBP2	FBP2	9	-	94558714	94593832	0.0	0.0
NES	NES	1	-	156668763	156677407	0.0	0.0
GSX1	GSX1	13	+	27792643	27793952	0.0	0.0
LINC02241	LINC02241	5	+	20611840	20937693	0.0	0.0
CYP21A2	CYP21A2	6	+	32038316	32041670	0.0	0.0
INTS13	INTS13	12	-	26905179	26938321	74.565422	0.000000
RPRD1A	RPRD1A	18	-	35989824	36067594	155.699326	157.964340
GRIA4	GRIA4	11	+	105610073	105982092	0.484461	0.0
BBOF1	BBOF1	14	+	74019349	74066092	5.224727	3.646360
TAAR3P	TAAR3P	6	-	132608225	132609302	0.0	0.0
MIR1260B	MIR1260B	11	+	96341438	96341526	0.0	0.000000
CBLL2	CBLL2	X	+	22272913	22274459	0.0	0.0
MANEA	MANEA	6	+	95577497	95609452	0.0	0.0
JCHAIN	JCHAIN	4	-	70655541	70666631	0.0	0.0
MIR3616	MIR3616	20	+	47166967	47167058	0.0	0.0
SS18L2	SS18L2	3	+	42581840	42594998	137.306534	80.306099
NOP10	NOP10	15	-	34341716	34343161	711.210693	391.649689
PRRT3	PRRT3	3	-	9945542	9952415	3.122146	0.000000
PCDHGC3	PCDHGC3	5	+	141476002	141512977	0.0	0.0
SH3PXD2A-AS1	SH3PXD2A-AS1	10	+	103746779	103755409	0.0	0.0
SYNE1-AS1	SYNE1-AS1	6	+	152380530	152381712	0.000000	0.000000
HHLA2	HHLA2	3	+	108296490	108378284	0.0	0.0
SF3A2	SF3A2	19	+	2236817	2248679	23.863976	51.966038
SCAMP3	SCAMP3	1	-	155255979	155262385	372.632263	112.102493
LINC02036	LINC02036	3	-	194203016	194250153	0.0	0.0
LMNB1	LMNB1	5	+	126776623	126837020	0.000000	0.0
PTGDR	PTGDR	14	+	52267713	52276724	0.0	0.0
ZFP42	ZFP42	4	+	187995771	188005049	0.0	0.0
GTF3C2-AS1	GTF3C2-AS1	2	+	27335542	27337803	0.000000	0.000000
TAC1	TAC1	7	+	97731959	97740472	0.0	0.0
LOXL2	LOXL2	8	-	23296897	23404209	0.0	0.000000
RPS27	RPS27	1	+	153990755	153992155	655.319885	369.575409
SPINK6	SPINK6	5	+	148202794	148215137	0.0	0.0
MAP3K14-AS1	MAP3K14-AS1	17	+	45247925	45268630	0.0	0.0
LOC105372977	LOC105372977	22	+	27187516	27189215	0.0	0.0
TRIM66	TRIM66	11	-	8612037	8658836	0.0	0.0
ZNF131	ZNF131	5	+	43120843	43176324	80.853111	42.881512
ZNF8	ZNF8	19	+	58278952	58295888	0.032261	0.005350
CZ1P-ASNS	CZ1P-ASNS	7	-	97852117	97972358	0.000000	0.000000
LACTB2-AS1	LACTB2-AS1	8	+	70608577	70663278	0.000000	0.000000
CDRT15P2	CDRT15P2	17	+	15764703	15765689	0.0	0.0
PRAM1	PRAM1	19	-	8490056	8502654	0.0	0.0
CTPS1	CTPS1	1	+	40979299	41012565	86.768890	85.621025
TM2D1	TM2D1	1	-	61681047	61725423	258.431702	543.591064
LINC01737	LINC01737	1	-	230592660	230595583	0.0	0.0
LOC729652	LOC729652	16	-	2464950	2468213	0.000000	0.0
ZC3HAV1L	ZC3HAV1L	7	-	139025706	139036029	1.586718	5.284751
KCNT2	KCNT2	1	-	196225781	196608576	0.822351	35.833664
LINC01257	LINC01257	12	+	131165011	131212931	0.0	0.0
C19orf54	C19orf54	19	-	40740856	40750553	8.125583	13.603887
MIR5587	MIR5587	16	+	535316	535368	0.000000	0.0
MIR6511A2	MIR6511A2	16	-	18344013	18344079	0.000000	0
ADAMTS20	ADAMTS20	12	-	43353866	43551971	0.0	0.0
DOCK9-AS1	DOCK9-AS1	13	+	98832084	98834629	0.0	0.0
IMP3	IMP3	15	-	75639085	75640323	276.505524	0.0
WDR78	WDR78	1	-	66812886	66924887	142.695206	322.679871
FAM172BP	FAM172BP	3	+	101518867	101523887	0.0	0.0
CACNA1C-IT3	CACNA1C-IT3	12	+	2269776	2288745	0.000000	0.000000
EPB41L2	EPB41L2	6	-	130839348	131063322	18.923439	0.000000
NREP-AS1	NREP-AS1	5	+	111912508	112017306	0.000000	0.0
EDDM3B	EDDM3B	14	+	20768427	20770948	0.0	0.0
KLRF2	KLRF2	12	+	9881489	9895833	0.0	0.0
RHOXF2	RHOXF2	X	-	120072264	120077742	8.405043	0.194709
NOP58	NOP58	2	+	202265763	202303661	223.073364	1262.657227
SHANK1	SHANK1	19	-	50659257	50719783	0.000000	0.0
CDRT8	CDRT8	17	-	15104985	15106187	0.0	0.0
COMMD2	COMMD2	3	-	149738470	149752499	35.780315	140.710999
ZC3H7A	ZC3H7A	16	-	11750586	11797258	87.446075	47.609627
PGGT1B	PGGT1B	5	-	115210830	115262872	40.174202	0.140195
SEL1L	SEL1L	14	-	81471547	81533861	0.786109	2.033287
LOC100129484	LOC100129484	7	-	5426283	5428927	0.0	0.0
SSX4B	SSX4B	X	+	48383516	48411910	0.0	0.0
LOC105370954	LOC105370954	15	+	86932880	86946331	0.0	0.0
MIR744	MIR744	17	+	12081899	12081996	0.000000	0.0
LINC01954	LINC01954	2	+	10878267	10885118	0.0	0.0
S100A4	S100A4	1	-	153543619	153545806	0.0	0.0
MIR4649	MIR4649	7	+	44110849	44110912	0.0	0.0
LINC02054	LINC02054	3	+	184401537	184439648	0.0	0.0
EVPL	EVPL	17	-	76006845	76027452	0.0	0.0
LINC00880	LINC00880	3	-	157081667	157123002	0.0	0.000000
LINC01177	LINC01177	16	-	9441294	9444985	0.0	0.0
C14orf119	C14orf119	14	+	23095474	23100456	280.466614	222.350845
KCNK18	KCNK18	10	+	117197489	117210299	0.0	0.0
GOLGA8K	GOLGA8K	15	-	32389585	32403292	0.000000	0.000000
NUDT7	NUDT7	16	+	77722492	77742260	0.0	0.0
LINC02539	LINC02539	6	-	137730171	137739037	0.0	0.0
LOC155060	LOC155060	7	+	149285281	149297312	2.667218	0.0
LOC284933	LOC284933	22	-	48538900	48547387	0.0	0.0
GNG3	GNG3	11	+	62707594	62709206	0.000000	0.000000
LOC105378146	LOC105378146	6	-	168927741	168964382	0.0	0.0
ZNF646	ZNF646	16	+	31074422	31083512	0.0	0.0
POLA2	POLA2	11	+	65261852	65298685	69.772339	78.025055
LOC100996318	LOC100996318	1	-	121090289	121098265	0.000000	0.0
MKNK2	MKNK2	19	-	2037471	2051244	15.714732	21.367910
INSL3	INSL3	19	-	17816513	17821574	0.0	0.0
CCDC73	CCDC73	11	-	32602080	32794658	0.000000	3.222326
LOC400867	LOC400867	21	-	38877291	38938429	0.0	0.0
ARSA	ARSA	22	-	50622754	50628173	0.0	0.0
LINC01572	LINC01572	16	-	72280902	72664970	0.552718	0.0
HEY1	HEY1	8	-	79764010	79767863	0.0	0.0
MDFIC	MDFIC	7	+	114922154	115019916	0.0	0.0
MATN1	MATN1	1	-	30711277	30723585	0.0	0.0
PSAPL1	PSAPL1	4	-	7430294	7434973	0.0	0.0
PSMB9	PSMB9	6	+	32854192	32859851	0.0	0.0
TMEM144	TMEM144	4	+	158210249	158255287	0.0	0.0
LINC02104	LINC02104	5	+	39520431	39524708	0.0	0.0
ZNF783	ZNF783	7	+	149262171	149284994	0.0	1.146256
SCARF2	SCARF2	22	-	20424584	20437859	0.000000	0.0
CERS4	CERS4	19	+	8209333	8262420	13.071439	0.0
PMCH	PMCH	12	-	102196459	102197833	0.000000	15.976543
AGBL3	AGBL3	7	+	134986508	135135778	44.480854	12.775766
DNPEP	DNPEP	2	-	219372029	219400022	9.547044	35.771568
THBS2	THBS2	6	-	169215780	169254114	0.0	0.0
MIR6511A1	MIR6511A1	16	-	18344013	18344079	0.000000	0
PNPLA2	PNPLA2	11	+	818901	825571	31.868906	0.000000
SELE	SELE	1	-	169722640	169734079	0.0	0.0
LOC284241	LOC284241	18	-	79638928	79679745	0.0	0.0
SELL	SELL	1	-	169690665	169711620	0.0	0.0
OR4F3	OR4F3	1	-	450740	451678	0.000000	0
CHRDL1	CHRDL1	X	-	110673856	110796058	0.0	0.0
NSFL1C	NSFL1C	20	-	1442162	1467692	43.870529	103.390694
HACD4	HACD4	9	-	20999509	21031675	0.0	0.0
LINC02500	LINC02500	4	-	181261016	181265029	0.0	0.0
ARL2	ARL2	11	+	65014113	65022185	87.751099	141.869064
CST3	CST3	20	-	23627897	23638048	82.422852	115.845787
WDR88	WDR88	19	+	33132092	33175797	0.0	0.0
CCPG1	CCPG1	15	-	55355223	55408510	10.635234	0.0
ZCCHC13	ZCCHC13	X	+	74304190	74305034	0.0	0.0
BNC2-AS1	BNC2-AS1	9	+	16726814	16727524	0.0	0.0
LOC100287497	LOC100287497	1	+	223992730	224033859	1.349834	86.712280
IREB2	IREB2	15	+	78437431	78501456	63.207161	0.0
ZNF385A	ZNF385A	12	-	54369129	54391305	0.000000	1.834593
FAM83G	FAM83G	17	-	18968791	19004764	0.0	0.0
KAZN-AS1	KAZN-AS1	1	-	14348955	14419973	0.0	0.0
APBA1	APBA1	9	-	69427533	69672359	1.780176	0.000000
MIR3677	MIR3677	16	+	2270713	2270772	0.0	0.0
C3orf52	C3orf52	3	+	112086335	112118226	0.0	0.0
LINC02249	LINC02249	15	+	30196036	30214540	3.723596	0.0
ATP5MG	ATP5MG	11	+	118401389	118409847	235.817276	439.675964
KLK13	KLK13	19	-	51055626	51065110	0.0	0.0
BRICD5	BRICD5	16	-	2209253	2211068	0.000000	0.000000
LINC01117	LINC01117	2	+	176637754	176655958	0.0	0.0
MTLN	MTLN	2	-	110211526	110245420	22.022259	2.216615
ARL13A	ARL13A	X	+	100969708	100990831	0.0	0.0
FGF9	FGF9	13	+	21671076	21704501	18.617865	0.0
BATF3	BATF3	1	-	212686417	212699985	18.038359	0.0
UNC13B	UNC13B	9	+	35161969	35405338	0.000000	0.0
JMJD6	JMJD6	17	-	76712832	76726799	101.771095	120.039757
LOC100132287	LOC100132287	1	-	490756	495445	0.000000	0.000000
OR4K3	OR4K3	14	-	19868197	19869173	0.0	0.0
ANKRD36BP2	ANKRD36BP2	2	+	88765902	88806595	0.000000	0.000000
LINC00689	LINC00689	7	+	159008354	159026238	0.0	0.0
C14orf28	C14orf28	14	+	44897304	44907257	0.0	0.0
C10orf126	C10orf126	10	+	28846408	28881897	0.0	0.0
LINC00837	LINC00837	10	-	28789311	28796050	0.0	0.0
PDE9A	PDE9A	21	+	42653752	42775508	65.652817	0.0
LINC01361	LINC01361	1	-	82973883	82986208	5.237107	0.0
MIR665	MIR665	14	+	100875033	100875104	0.0	0.0
LOC728755	LOC728755	14	-	27321826	27673221	42.781956	0.0
LOC105376772	LOC105376772	16	-	74406289	74407219	0.0	0.0
DPM1	DPM1	20	-	50934855	50958564	621.964417	1359.703247
ASXL1	ASXL1	20	+	32358344	32439319	11.562313	9.183076
NIF3L1	NIF3L1	2	+	200889327	200903932	76.201973	315.816650
BCORP1	BCORP1	Y	-	19455431	19503153	0.0	0.0
POU4F2	POU4F2	4	+	146638893	146642471	14.660029	0.0
SNORD164	SNORD164	11	+	35162950	35163010	0.0	0.0
MIR1184-2	MIR1184-2	X	+	155457517	155457615	0.000000	0
TMEM158	TMEM158	3	-	45224464	45226322	0.0	0.0
UBE2J2	UBE2J2	1	-	1253912	1273854	79.066559	0.0
MIF	MIF	22	+	23894378	23895222	1359.144165	1658.213989
SLC5A3	SLC5A3	21	+	34073523	34106262	2.647419	0.024069
LINC00638	LINC00638	14	+	104821201	104823718	7.783951	0.0
FAS-AS1	FAS-AS1	10	-	88991424	88992975	0.000000	0.0
SNAR-A13	SNAR-A13	19	+	47944922	47945043	193.778091	0
BIN3-IT1	BIN3-IT1	8	-	22640371	22642209	0.000000	0.000000
FAM160A2	FAM160A2	11	-	6211334	6234711	0.0	0.0
HTR1E	HTR1E	6	+	86937306	87016679	0.0	0.0
OR51E2	OR51E2	11	-	4680171	4697846	0.0	0.0
SYNCRIP	SYNCRIP	6	-	85607784	85643325	75.947609	0.689075
PICART1	PICART1	17	-	50050349	50055739	0.0	0.0
MPL	MPL	1	+	43337804	43354464	0.0	0.000000
CNGA3	CNGA3	2	+	98346155	98398601	0.0	0.0
MIR6859-1	MIR6859-1	15	+	101973524	101973591	0.000000	0.000000
SNRPG	SNRPG	2	-	70281362	70293771	2546.229736	1846.409668
CAND1.11	CAND1.11	11	+	10308313	10430673	0.0	0.0
PTGES3	PTGES3	12	-	56663341	56688408	340.063782	2672.288818
C20orf96	C20orf96	20	-	270863	290778	36.120441	0.056493
DPH3	DPH3	3	-	16257061	16264989	235.276108	117.134323
HERC2	HERC2	15	-	28111037	28322152	3.708753	1.890303
MPG	MPG	16	+	77019	85851	101.714081	0.0
MS4A4E	MS4A4E	11	-	60201253	60243088	0.0	0.0
MIR3197	MIR3197	21	+	41167557	41167629	0.0	0.0
MIR941-1	MIR941-1	20	+	63919449	63919771	0.000000	0.000000
PPP1R3A	PPP1R3A	7	-	113876827	113919027	0.0	0.0
RNF19B	RNF19B	1	-	32936446	32964813	0.213264	28.454817
LY75-CD302	LY75-CD302	2	-	159768628	159904756	17.721340	0.000000
VPS8	VPS8	3	+	184812143	185052614	2.444216	49.651787
IRX6	IRX6	16	+	55324559	55330760	2.183457	0.0
RNA5S5	RNA5S5	1	-	228646038	228646158	0.000000	0
GCN1	GCN1	12	-	120127210	120194710	20.327148	0.0
HPS3	HPS3	3	+	149129584	149173196	0.000000	0.0
KIF25	KIF25	6	+	168017873	168045089	22.375549	0.0
ZDHHC11B	ZDHHC11B	5	-	710355	784755	0.446551	0.0
CPEB3	CPEB3	10	-	92048640	92291118	1.467448	0.0
MSH6	MSH6	2	+	47783082	47806953	113.771988	25.431822
SNTN	SNTN	3	+	63652668	63665215	0.0	0.0
FN3KRP	FN3KRP	17	+	82716706	82728017	64.504158	0.0
IGSF9B	IGSF9B	11	-	133908625	133956754	0.0	0.0
ZNF761	ZNF761	19	+	53431974	53458261	36.629765	0.0
RBAK-RBAKDN	RBAK-RBAKDN	7	+	5045821	5073223	0.000000	0.000000
MIR4717	MIR4717	16	+	2274620	2274691	0.0	0.0
LOC100132202	LOC100132202	15	-	28349196	28358181	0.000000	0.000000
MERTK	MERTK	2	+	111898614	112029368	0.0	0.0
ATRIP-TREX1	ATRIP-TREX1	3	+	48446779	48467645	0.000000	0.0
OR1D4	OR1D4	17	+	3240676	3241614	0.0	0.0
ZSCAN30	ZSCAN30	18	-	35251058	35290245	0.783298	99.557220
NME9	NME9	3	-	138261437	138329886	0.000000	0.000000
SLC25A34-AS1	SLC25A34-AS1	1	-	15740051	15749890	0.000000	0.0
MIR222	MIR222	X	-	45747015	45747124	0.0	0.0
IFI6	IFI6	1	-	27666061	27672213	0.0	0.0
BOLA2B	BOLA2B	16	-	30192930	30193666	43.694717	36.628769
MIR515-1	MIR515-1	19	+	53679003	53685091	0.0	0.0
ERMARD	ERMARD	6	+	169751622	169781584	7.129910	0.0
ITGA1	ITGA1	5	+	52788302	52953655	0.000000	0.0
CCDC175	CCDC175	14	-	59505067	59576831	0.000000	0.000000
NKX6-3	NKX6-3	8	-	41645178	41650817	0.0	0.0
MNX1-AS2	MNX1-AS2	7	+	157006307	157007118	0.000000	0.0
STN1	STN1	10	-	103877560	103918287	0.0	0.0
LOC105378098	LOC105378098	6	+	161470977	161484045	0.000000	0.0
ABCA5	ABCA5	17	-	69244435	69327182	15.581296	0.000000
PIP5KL1	PIP5KL1	9	-	127920881	127930777	0.0	0.0
FBXL4	FBXL4	6	-	98873725	98948006	0.0	0.0
LRRC28	LRRC28	15	+	99251362	99390732	0.000000	0.000000
SVOP	SVOP	12	-	108908129	109021240	0.0	0.0
EPN2-AS1	EPN2-AS1	17	-	19296596	19306261	0.000000	0.000000
SLC17A2	SLC17A2	6	-	25912756	25930726	0.0	0.0
C5orf46	C5orf46	5	-	147892722	147906538	0.0	0.0
NAP1L1	NAP1L1	12	-	76044745	76085033	40.330383	76.131432
FBXO44	FBXO44	1	+	11654375	11663327	0.0	0.0
FKBP15	FKBP15	9	-	113165520	113221361	6.504137	0.0
MACROD2-IT1	MACROD2-IT1	20	+	14554384	14628908	0.000000	0.0
RNA5S11	RNA5S11	1	-	228610266	228646158	0	0.0
CYP3A7-CYP3A51P	CYP3A7-CYP3A51P	7	-	99684679	99735200	0.0	0.0
ASNSP1	ASNSP1	8	-	46579215	46617643	0.0	0.0
PDCD1	PDCD1	2	-	241849884	241858894	0.0	0.0
BRCA2	BRCA2	13	+	32315480	32399672	50.886013	52.725365
SPANXA1	SPANXA1	X	-	141583674	141590772	0.0	0.0
DLG1-AS1	DLG1-AS1	3	+	197298247	197303750	0.0	0.0
LINC01352	LINC01352	1	+	220829255	220832428	0.0	0.0
MIR3150A	MIR3150A	8	+	95072914	95072993	0.000000	0.000000
MOB3A	MOB3A	19	-	2071036	2096270	0.0	0.0
MIR6890	MIR6890	3	-	49099854	49099914	0.000000	0.000000
LOC100286922	LOC100286922	2	-	233754316	233755345	0.0	0.0
FZD10-DT	FZD10-DT	12	-	130151593	130161678	0.0	0.0
ENDOD1	ENDOD1	11	+	95089810	95132651	0.0	0.0
MIR1244-1	MIR1244-1	5	+	118974586	118974667	17.065098	13.690728
LINC02269	LINC02269	4	+	173897273	173929525	24.236118	0.0
ZFP91-CNTF	ZFP91-CNTF	11	+	58579114	58625732	0.000000	0.000000
CD80	CD80	3	-	119524293	119559634	0.0	0.0
TNFRSF12A	TNFRSF12A	16	+	3020312	3022382	241.253387	230.064804
RALGPS1	RALGPS1	9	+	126914774	127223166	0.0	0.000000
TNC	TNC	9	-	115019576	115118257	0.0	0.0
ZGLP1	ZGLP1	19	-	10304803	10309557	0.0	0.0
CPB2-AS1	CPB2-AS1	13	+	46052848	46101347	7.258982	0.0
MIR5680	MIR5680	8	+	102125432	102125515	0.0	0.0
KCNH8	KCNH8	3	+	19148525	19535643	0.0	0.0
KIRREL1-IT1	KIRREL1-IT1	1	+	158025550	158032098	0.000000	0.000000
ANKRD20A3	ANKRD20A3	9	+	67859349	67902847	0.218802	0.000000
SVEP1	SVEP1	9	-	110365249	110579741	0.0	0.0
SGSM2	SGSM2	17	+	2337512	2381054	0.000000	0.040221
OR1D5	OR1D5	17	-	3062669	3063607	0.0	0.0
ATF6B	ATF6B	6	-	32115268	32128240	7.075260	0.0
CAMK2A	CAMK2A	5	-	150219491	150290130	0.0	0.0
MIR372	MIR372	19	+	53787890	53787956	0.0	0.0
FAM201A	FAM201A	9	+	38621088	38623280	0.0	0.0
PYCR2	PYCR2	1	-	225919877	225924340	92.841919	16.916534
RWDD3	RWDD3	1	+	95234155	95247225	45.005970	76.659599
LOC100419583	LOC100419583	15	+	44728988	44732851	71.854576	0.000000
CRADD	CRADD	12	+	93677371	93894840	74.992462	47.032906
SUMF1	SUMF1	3	-	4361145	4467282	11.296406	0.0
GFRA4	GFRA4	20	-	3659292	3663399	0.0	0.124926
MMRN1	MMRN1	4	+	89894901	89954629	0.0	0.0
MIR3118-3	MIR3118-3	15	+	20832795	21843824	0.0	0.0
AS-PTPRE	AS-PTPRE	10	-	128057732	128062425	0.0	0.0
USP20	USP20	9	+	129835417	129881838	2.278273	0.0
MIR933	MIR933	2	-	175167633	175167709	0.000000	0.000000
NBPF11	NBPF11	1	-	148102046	148152190	0.764801	0.775336
PTGER3	PTGER3	1	-	70852353	71047808	0.000000	0.000000
SLC25A41	SLC25A41	19	-	6426037	6433779	0.0	0.0
ZPBP	ZPBP	7	-	49937428	50093264	0.0	0.0
PLLP	PLLP	16	-	57256097	57284672	0.0	0.0
LINC01013	LINC01013	6	+	132133978	132169374	0.0	0.0
ZMYM4	ZMYM4	1	+	35268967	35421944	23.957811	42.365585
UBE4B	UBE4B	1	+	10032983	10181238	37.403030	0.0
LRRTM4	LRRTM4	2	-	76747724	77522433	0.0	0.0
LMO1	LMO1	11	-	8224304	8268635	0.0	0.0
MTMR3	MTMR3	22	+	29883169	30030868	0.0	0.000000
NHLRC3	NHLRC3	13	+	39038311	39050107	52.282345	0.0
MIR1302-1	MIR1302-1	12	-	112695034	112695176	0.0	0.0
NRL	NRL	14	-	24078686	24115014	0.000000	0.000000
DLX3	DLX3	17	-	49990005	49995224	0.0	0.0
CHRD	CHRD	3	+	184380073	184389835	0.0	0.0
LOC100506321	LOC100506321	14	+	65089918	65094311	0.000000	0.000000
MIR6762	MIR6762	12	+	113291523	113291608	0.000000	0.0
CLDN17	CLDN17	21	-	30165923	30166653	0.0	0.0
RHOBTB2	RHOBTB2	8	+	22987417	23020197	0.000000	0.000000
MFSD5	MFSD5	12	+	53251586	53254406	53.235931	88.103424
LINC02397	LINC02397	12	+	92466679	92483947	0.0	0.0
STK33	STK33	11	-	8391866	8594289	0.0	0.0
G6PC	G6PC	17	+	42900797	42914433	0.0	0.0
SLC25A30-AS1	SLC25A30-AS1	13	+	45418162	45420371	0.0	0.0
SNAR-A6	SNAR-A6	19	+	47923779	47923899	0.000000	0.000000
KDM2A	KDM2A	11	+	67119269	67258079	0.0	3.115674
FLJ39095	FLJ39095	1	+	247104511	247109561	0.545922	0.0
SPATA31E1	SPATA31E1	9	+	87882857	87888899	0.0	0.0
NDUFV2-AS1	NDUFV2-AS1	18	-	9121265	9136720	34.425869	0.000000
OR5M9	OR5M9	11	-	56462469	56463401	0.0	0.0
